         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
         2	         1	         2	         1	         2	         2	         1	         1	         2	         1	         1	         2	         1	         1	         2	         1	         1	         2	         1
         3	         4	         5	         4	         4	         5	         4	         4	         5	         4	         4	         5	         4	         4	         5	         4	         4	         5	         4
         4	         7	        10	         7	         8	         9	         7	         7	         9	         7	         7	         9	         7	         7	         9	         7	         7	         9	         7
         5	        11	        15	        11	        12	        15	        12	        11	        15	        11	        11	        15	        11	        11	        15	        11	        11	        15	        11
         6	        17	        22	        17	        18	        22	        17	        16	        22	        16	        16	        22	        17	        16	        22	        16	        16	        22	        16
         7	        23	        31	        23	        25	        30	        23	        22	        30	        22	        22	        30	        23	        22	        30	        22	        22	        30	        21
         8	        30	        40	        30	        32	        39	        30	        29	        39	        28	        29	        39	        30	        29	        40	        29	        29	        39	        28
         9	        38	        51	        38	        41	        50	        38	        37	        50	        36	        37	        50	        38	        36	        50	        37	        37	        50	        36
        10	        47	        63	        47	        51	        62	        48	        45	        61	        45	        45	        62	        47	        45	        62	        46	        45	        62	        44
        11	        57	        76	        57	        62	        75	        58	        55	        74	        54	        55	        75	        57	        54	        76	        55	        55	        75	        54
        12	        68	        91	        68	        73	        89	        69	        65	        89	        64	        66	        89	        68	        65	        90	        66	        66	        89	        64
        13	        79	       107	        80	        86	       104	        81	        77	       104	        76	        77	       105	        79	        76	       106	        77	        77	       105	        75
        14	        92	       124	        93	       100	       121	        94	        89	       121	        88	        89	       122	        92	        88	       123	        90	        89	       121	        87
        15	       106	       142	       106	       115	       139	       107	       102	       139	       101	       103	       140	       106	       101	       141	       103	       103	       139	       100
        16	       120	       162	       121	       130	       158	       122	       117	       158	       115	       117	       159	       120	       115	       160	       117	       117	       159	       114
        17	       136	       183	       137	       147	       179	       138	       132	       178	       129	       132	       180	       136	       130	       181	       132	       132	       179	       128
        18	       152	       205	       153	       165	       200	       155	       148	       200	       145	       148	       201	       152	       146	       203	       148	       148	       201	       144
        19	       170	       229	       171	       184	       223	       172	       164	       223	       162	       165	       224	       170	       163	       226	       165	       165	       224	       160
        20	       188	       253	       189	       204	       247	       191	       182	       247	       179	       183	       249	       188	       180	       250	       183	       183	       248	       177
        21	       207	       279	       209	       225	       273	       210	       201	       272	       198	       201	       274	       207	       199	       276	       202	       201	       273	       196
        22	       227	       306	       229	       247	       299	       231	       220	       299	       217	       221	       301	       227	       218	       303	       222	       221	       300	       215
        23	       249	       335	       250	       269	       327	       252	       241	       326	       237	       242	       329	       249	       238	       331	       242	       242	       328	       235
        24	       271	       365	       272	       293	       356	       275	       262	       355	       258	       263	       358	       271	       260	       360	       264	       263	       357	       255
        25	       294	       395	       295	       318	       386	       298	       284	       385	       280	       285	       388	       294	       282	       391	       286	       285	       387	       277
        26	       317	       428	       319	       344	       418	       322	       308	       417	       303	       309	       420	       317	       305	       423	       309	       309	       419	       300
        27	       342	       461	       344	       371	       450	       348	       332	       449	       326	       333	       453	       342	       328	       456	       334	       333	       451	       323
        28	       368	       496	       370	       399	       484	       374	       356	       483	       351	       358	       487	       368	       353	       490	       359	       358	       485	       347
        29	       395	       532	       397	       428	       519	       401	       382	       518	       376	       384	       522	       395	       379	       525	       385	       384	       521	       372
        30	       422	       569	       425	       458	       556	       429	       409	       554	       402	       410	       558	       422	       405	       562	       412	       410	       557	       399
        31	       451	       607	       453	       489	       593	       458	       437	       592	       430	       438	       596	       451	       432	       600	       439	       438	       595	       425
        32	       480	       647	       483	       520	       632	       488	       465	       630	       458	       467	       635	       480	       461	       639	       468	       467	       633	       453
        33	       510	       688	       514	       553	       672	       518	       495	       670	       487	       496	       675	       510	       490	       680	       498	       496	       673	       482
        34	       542	       730	       545	       587	       713	       550	       525	       711	       516	       526	       716	       542	       520	       721	       528	       526	       715	       511
        35	       574	       773	       577	       622	       755	       583	       556	       753	       547	       558	       759	       574	       551	       764	       560	       558	       757	       542
        36	       607	       818	       611	       658	       799	       616	       588	       797	       579	       590	       803	       607	       582	       808	       592	       590	       801	       573
        37	       641	       863	       645	       695	       843	       651	       621	       841	       611	       623	       847	       641	       615	       853	       625	       623	       845	       605
        38	       676	       910	       680	       733	       889	       686	       655	       887	       644	       657	       894	       676	       648	       900	       659	       657	       892	       638
        39	       712	       959	       716	       771	       937	       723	       690	       934	       678	       692	       941	       712	       683	       948	       694	       692	       939	       672
        40	       748	      1008	       753	       811	       985	       760	       725	       983	       713	       727	       990	       748	       718	       997	       730	       727	       987	       706
