         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
         2	         2	         1	         2	         2	         1	         2	         2	         1	         2	         2	         1	         2	         2	         1	         2	         2	         1	         2
         3	         4	         4	         4	         4	         4	         4	         4	         4	         4	         4	         4	         4	         4	         4	         4	         4	         4	         4
         4	         7	         7	         7	         7	         7	         7	         7	         7	         7	         7	         7	         7	         7	         7	         7	         7	         7	         7
         5	        12	        12	        12	        12	        12	        12	        12	        12	        12	        12	        12	        12	        12	        12	        12	        12	        12	        12
         6	        17	        17	        17	        17	        17	        17	        17	        17	        17	        17	        17	        17	        17	        17	        17	        17	        17	        17
         7	        24	        23	        24	        24	        23	        24	        24	        23	        24	        24	        23	        24	        24	        23	        24	        24	        23	        24
         8	        31	        31	        31	        31	        31	        31	        31	        31	        31	        31	        31	        31	        31	        31	        31	        31	        31	        31
         9	        40	        39	        40	        40	        39	        40	        40	        39	        40	        40	        39	        40	        40	        39	        40	        40	        39	        40
        10	        49	        48	        49	        49	        48	        49	        49	        48	        49	        49	        48	        49	        49	        48	        49	        49	        48	        49
        11	        60	        58	        60	        60	        58	        60	        60	        58	        60	        60	        58	        60	        60	        58	        60	        60	        58	        60
        12	        71	        69	        71	        71	        69	        71	        71	        69	        71	        71	        69	        71	        71	        69	        71	        71	        69	        71
        13	        84	        82	        84	        84	        82	        84	        84	        82	        84	        84	        82	        84	        84	        82	        84	        84	        82	        84
        14	        97	        95	        97	        97	        95	        97	        97	        95	        97	        97	        95	        97	        97	        95	        97	        97	        95	        97
        15	       112	       109	       112	       112	       109	       112	       112	       109	       112	       112	       109	       112	       112	       109	       112	       112	       109	       112
        16	       127	       124	       127	       127	       124	       127	       127	       124	       127	       127	       124	       127	       127	       124	       127	       127	       124	       127
        17	       143	       140	       143	       143	       140	       143	       143	       140	       143	       143	       140	       143	       143	       140	       143	       143	       140	       143
        18	       161	       157	       161	       161	       157	       161	       161	       157	       161	       161	       157	       161	       161	       157	       161	       161	       157	       161
        19	       179	       174	       179	       179	       174	       179	       179	       174	       179	       179	       174	       179	       179	       174	       179	       179	       174	       179
        20	       198	       193	       198	       198	       193	       198	       198	       193	       198	       198	       193	       198	       198	       193	       198	       198	       193	       198
        21	       219	       213	       219	       219	       213	       219	       219	       213	       219	       219	       213	       219	       219	       213	       219	       219	       213	       219
        22	       240	       234	       240	       240	       234	       240	       240	       234	       240	       240	       234	       240	       240	       234	       240	       240	       234	       240
        23	       262	       256	       262	       262	       256	       262	       262	       256	       262	       262	       256	       262	       262	       256	       262	       262	       256	       262
        24	       286	       278	       286	       286	       278	       286	       286	       278	       286	       286	       278	       286	       286	       278	       286	       286	       278	       286
        25	       310	       302	       310	       310	       302	       310	       310	       302	       310	       310	       302	       310	       310	       302	       310	       310	       302	       310
        26	       335	       326	       335	       335	       326	       335	       335	       326	       335	       335	       326	       335	       335	       326	       335	       335	       326	       335
        27	       361	       352	       361	       361	       352	       361	       361	       352	       361	       361	       352	       361	       361	       352	       361	       361	       352	       361
        28	       388	       378	       388	       388	       378	       388	       388	       378	       388	       388	       378	       388	       388	       378	       388	       388	       378	       388
        29	       416	       406	       416	       416	       406	       416	       416	       406	       416	       416	       406	       416	       416	       406	       416	       416	       406	       416
        30	       445	       434	       445	       445	       434	       445	       445	       434	       445	       445	       434	       445	       445	       434	       445	       445	       434	       445
