         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
         2	         2	         1	         2	         2	         1	         2	         2	         1	         2	         2	         1	         2	         2	         1	         2	         2	         1	         2
         3	         4	         3	         4	         4	         3	         4	         4	         3	         4	         4	         3	         4	         4	         3	         4	         4	         3	         4
         4	         8	         6	         8	         8	         6	         8	         8	         6	         8	         8	         6	         8	         8	         6	         8	         8	         6	         8
         5	        12	        10	        12	        12	        10	        12	        12	        10	        12	        12	        10	        12	        12	        10	        12	        12	        10	        12
         6	        18	        14	        18	        18	        14	        18	        18	        14	        18	        18	        14	        18	        18	        14	        18	        18	        14	        18
         7	        24	        20	        24	        24	        20	        24	        24	        20	        24	        24	        20	        24	        24	        20	        24	        24	        20	        24
         8	        32	        26	        32	        32	        26	        32	        32	        26	        32	        32	        26	        32	        32	        26	        32	        32	        26	        32
         9	        41	        33	        41	        41	        33	        41	        41	        33	        41	        41	        33	        41	        41	        33	        41	        41	        33	        41
        10	        50	        41	        50	        50	        41	        50	        50	        41	        50	        50	        41	        50	        50	        41	        50	        50	        41	        50
        11	        61	        49	        61	        61	        49	        61	        61	        49	        61	        61	        49	        61	        61	        49	        61	        61	        49	        61
        12	        72	        59	        72	        72	        59	        72	        72	        59	        72	        72	        59	        72	        72	        59	        72	        72	        59	        72
        13	        85	        69	        85	        85	        69	        85	        85	        69	        85	        85	        69	        85	        85	        69	        85	        85	        69	        85
        14	        99	        80	        99	        99	        80	        99	        99	        80	        99	        99	        80	        99	        99	        80	        99	        99	        80	        99
        15	       113	        92	       113	       113	        92	       113	       113	        92	       113	       113	        92	       113	       113	        92	       113	       113	        92	       113
        16	       129	       105	       129	       129	       105	       129	       129	       105	       129	       129	       105	       129	       129	       105	       129	       129	       105	       129
        17	       146	       118	       146	       146	       118	       146	       146	       118	       146	       146	       118	       146	       146	       118	       146	       146	       118	       146
        18	       163	       133	       163	       163	       133	       163	       163	       133	       163	       163	       133	       163	       163	       133	       163	       163	       133	       163
        19	       182	       148	       182	       182	       148	       182	       182	       148	       182	       182	       148	       182	       182	       148	       182	       182	       148	       182
        20	       201	       164	       201	       201	       164	       201	       201	       164	       201	       201	       164	       201	       201	       164	       201	       201	       164	       201
        21	       222	       181	       222	       222	       181	       222	       222	       181	       222	       222	       181	       222	       222	       181	       222	       222	       181	       222
        22	       244	       198	       244	       244	       198	       244	       244	       198	       244	       244	       198	       244	       244	       198	       244	       244	       198	       244
        23	       266	       217	       266	       266	       217	       266	       266	       217	       266	       266	       217	       266	       266	       217	       266	       266	       217	       266
        24	       290	       236	       290	       290	       236	       290	       290	       236	       290	       290	       236	       290	       290	       236	       290	       290	       236	       290
        25	       314	       256	       314	       314	       256	       314	       314	       256	       314	       314	       256	       314	       314	       256	       314	       314	       256	       314
        26	       340	       277	       340	       340	       277	       340	       340	       277	       340	       340	       277	       340	       340	       277	       340	       340	       277	       340
        27	       367	       298	       367	       367	       298	       367	       367	       298	       367	       367	       298	       367	       367	       298	       367	       367	       298	       367
        28	       394	       321	       394	       394	       321	       394	       394	       321	       394	       394	       321	       394	       394	       321	       394	       394	       321	       394
        29	       423	       344	       423	       423	       344	       423	       423	       344	       423	       423	       344	       423	       423	       344	       423	       423	       344	       423
        30	       452	       368	       452	       452	       368	       452	       452	       368	       452	       452	       368	       452	       452	       368	       452	       452	       368	       452
