         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
         2	         0	         1	         0	         0	         1	         0	         0	         1	         0	         0	         1	         0	         0	         1	         0	         0	         1	         0
         3	         1	         2	         1	         1	         2	         1	         1	         2	         1	         1	         2	         1	         1	         2	         1	         1	         2	         1
         4	         2	         3	         2	         2	         3	         2	         2	         3	         2	         2	         3	         2	         2	         3	         2	         2	         3	         2
         5	         4	         5	         4	         4	         5	         4	         4	         5	         4	         4	         5	         4	         4	         5	         4	         4	         5	         4
         6	         5	         7	         5	         5	         7	         5	         5	         7	         5	         5	         7	         5	         5	         7	         5	         5	         7	         5
         7	         7	         9	         7	         7	         9	         7	         7	         9	         7	         7	         9	         7	         7	         9	         7	         7	         9	         7
         8	        10	        12	        10	        10	        12	        10	        10	        12	        10	        10	        12	        10	        10	        12	        10	        10	        12	        10
         9	        12	        15	        12	        12	        15	        12	        12	        15	        12	        12	        15	        12	        12	        15	        12	        12	        15	        12
        10	        15	        19	        15	        15	        19	        15	        15	        19	        15	        15	        19	        15	        15	        19	        15	        15	        19	        15
        11	        18	        22	        18	        18	        22	        18	        18	        22	        18	        18	        22	        18	        18	        22	        18	        18	        22	        18
        12	        22	        27	        22	        22	        27	        22	        22	        27	        22	        22	        27	        22	        22	        27	        22	        22	        27	        22
        13	        25	        31	        25	        25	        31	        25	        25	        31	        25	        25	        31	        25	        25	        31	        25	        25	        31	        25
        14	        29	        37	        29	        29	        37	        29	        29	        37	        29	        29	        37	        29	        29	        37	        29	        29	        37	        29
        15	        34	        42	        34	        34	        42	        34	        34	        42	        34	        34	        42	        34	        34	        42	        34	        34	        42	        34
        16	        38	        48	        38	        38	        48	        38	        38	        48	        38	        38	        48	        38	        38	        48	        38	        38	        48	        38
        17	        43	        54	        43	        43	        54	        43	        43	        54	        43	        43	        54	        43	        43	        54	        43	        43	        54	        43
        18	        49	        60	        49	        49	        60	        49	        49	        60	        49	        49	        60	        49	        49	        60	        49	        49	        60	        49
        19	        54	        67	        54	        54	        67	        54	        54	        67	        54	        54	        67	        54	        54	        67	        54	        54	        67	        54
        20	        60	        75	        60	        60	        75	        60	        60	        75	        60	        60	        75	        60	        60	        75	        60	        60	        75	        60
        21	        66	        82	        66	        66	        82	        66	        66	        82	        66	        66	        82	        66	        66	        82	        66	        66	        82	        66
        22	        73	        90	        73	        73	        90	        73	        73	        90	        73	        73	        90	        73	        73	        90	        73	        73	        90	        73
        23	        80	        99	        80	        80	        99	        80	        80	        99	        80	        80	        99	        80	        80	        99	        80	        80	        99	        80
        24	        87	       108	        87	        87	       108	        87	        87	       108	        87	        87	       108	        87	        87	       108	        87	        87	       108	        87
        25	        94	       117	        94	        94	       117	        94	        94	       117	        94	        94	       117	        94	        94	       117	        94	        94	       117	        94
        26	       102	       126	       102	       102	       126	       102	       102	       126	       102	       102	       126	       102	       102	       126	       102	       102	       126	       102
        27	       110	       136	       110	       110	       136	       110	       110	       136	       110	       110	       136	       110	       110	       136	       110	       110	       136	       110
        28	       118	       146	       118	       118	       146	       118	       118	       146	       118	       118	       146	       118	       118	       146	       118	       118	       146	       118
        29	       126	       157	       126	       126	       157	       126	       126	       157	       126	       126	       157	       126	       126	       157	       126	       126	       157	       126
        30	       135	       168	       135	       135	       168	       135	       135	       168	       135	       135	       168	       135	       135	       168	       135	       135	       168	       135
        31	       144	       179	       144	       144	       179	       144	       144	       179	       144	       144	       179	       144	       144	       179	       144	       144	       179	       144
        32	       154	       191	       154	       154	       191	       154	       154	       191	       154	       154	       191	       154	       154	       191	       154	       154	       191	       154
        33	       164	       203	       164	       164	       203	       164	       164	       203	       164	       164	       203	       164	       164	       203	       164	       164	       203	       164
        34	       174	       216	       174	       174	       216	       174	       174	       216	       174	       174	       216	       174	       174	       216	       174	       174	       216	       174
        35	       184	       228	       184	       184	       228	       184	       184	       228	       184	       184	       228	       184	       184	       228	       184	       184	       228	       184
        36	       195	       242	       195	       195	       242	       195	       195	       242	       195	       195	       242	       195	       195	       242	       195	       195	       242	       195
        37	       206	       255	       206	       206	       255	       206	       206	       255	       206	       206	       255	       206	       206	       255	       206	       206	       255	       206
        38	       217	       269	       217	       217	       269	       217	       217	       269	       217	       217	       269	       217	       217	       269	       217	       217	       269	       217
        39	       228	       283	       228	       228	       283	       228	       228	       283	       228	       228	       283	       228	       228	       283	       228	       228	       283	       228
        40	       240	       298	       240	       240	       298	       240	       240	       298	       240	       240	       298	       240	       240	       298	       240	       240	       298	       240
        41	       252	       313	       252	       252	       313	       252	       252	       313	       252	       252	       313	       252	       252	       313	       252	       252	       313	       252
        42	       265	       329	       265	       265	       329	       265	       265	       329	       265	       265	       329	       265	       265	       329	       265	       265	       329	       265
        43	       278	       344	       278	       278	       344	       278	       278	       344	       278	       278	       344	       278	       278	       344	       278	       278	       344	       278
        44	       291	       361	       291	       291	       361	       291	       291	       361	       291	       291	       361	       291	       291	       361	       291	       291	       361	       291
        45	       304	       377	       304	       304	       377	       304	       304	       377	       304	       304	       377	       304	       304	       377	       304	       304	       377	       304
        46	       317	       394	       317	       317	       394	       317	       317	       394	       317	       317	       394	       317	       317	       394	       317	       317	       394	       317
        47	       331	       411	       331	       331	       411	       331	       331	       411	       331	       331	       411	       331	       331	       411	       331	       331	       411	       331
        48	       346	       429	       346	       346	       429	       346	       346	       429	       346	       346	       429	       346	       346	       429	       346	       346	       429	       346
        49	       360	       447	       360	       360	       447	       360	       360	       447	       360	       360	       447	       360	       360	       447	       360	       360	       447	       360
        50	       375	       465	       375	       375	       465	       375	       375	       465	       375	       375	       465	       375	       375	       465	       375	       375	       465	       375
        51	       390	       484	       390	       390	       484	       390	       390	       484	       390	       390	       484	       390	       390	       484	       390	       390	       484	       390
        52	       405	       503	       405	       405	       503	       405	       405	       503	       405	       405	       503	       405	       405	       503	       405	       405	       503	       405
        53	       421	       522	       421	       421	       522	       421	       421	       522	       421	       421	       522	       421	       421	       522	       421	       421	       522	       421
        54	       437	       542	       437	       437	       542	       437	       437	       542	       437	       437	       542	       437	       437	       542	       437	       437	       542	       437
        55	       453	       562	       453	       453	       562	       453	       453	       562	       453	       453	       562	       453	       453	       562	       453	       453	       562	       453
        56	       470	       583	       470	       470	       583	       470	       470	       583	       470	       470	       583	       470	       470	       583	       470	       470	       583	       470
        57	       487	       604	       487	       487	       604	       487	       487	       604	       487	       487	       604	       487	       487	       604	       487	       487	       604	       487
        58	       504	       625	       504	       504	       625	       504	       504	       625	       504	       504	       625	       504	       504	       625	       504	       504	       625	       504
        59	       521	       647	       521	       521	       647	       521	       521	       647	       521	       521	       647	       521	       521	       647	       521	       521	       647	       521
        60	       539	       669	       539	       539	       669	       539	       539	       669	       539	       539	       669	       539	       539	       669	       539	       539	       669	       539
        61	       557	       691	       557	       557	       691	       557	       557	       691	       557	       557	       691	       557	       557	       691	       557	       557	       691	       557
        62	       575	       714	       575	       575	       714	       575	       575	       714	       575	       575	       714	       575	       575	       714	       575	       575	       714	       575
        63	       594	       737	       594	       594	       737	       594	       594	       737	       594	       594	       737	       594	       594	       737	       594	       594	       737	       594
