         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
         2	         2	         2	         2	         2	         2	         2	         2	         2	         2	         2	         2	         2	         2	         2	         2	         2	         2	         2
         3	         5	         6	         5	         5	         6	         5	         5	         6	         5	         5	         6	         5	         5	         6	         5	         5	         6	         5
         4	         9	        11	         9	         9	        11	         9	         9	        11	         9	         9	        11	         9	         9	        11	         9	         9	        11	         9
         5	        15	        17	        15	        15	        17	        15	        15	        17	        15	        15	        17	        15	        15	        17	        15	        15	        17	        15
         6	        22	        25	        22	        22	        25	        22	        22	        25	        22	        22	        25	        22	        22	        25	        22	        22	        25	        22
         7	        30	        34	        30	        30	        34	        30	        30	        34	        30	        30	        34	        30	        30	        34	        30	        30	        34	        30
         8	        39	        44	        39	        39	        44	        39	        39	        44	        39	        39	        44	        39	        39	        44	        39	        39	        44	        39
         9	        49	        56	        49	        49	        56	        49	        49	        56	        49	        49	        56	        49	        49	        56	        49	        49	        56	        49
        10	        61	        70	        61	        61	        70	        61	        61	        70	        61	        61	        70	        61	        61	        70	        61	        61	        70	        61
        11	        74	        84	        74	        74	        84	        74	        74	        84	        74	        74	        84	        74	        74	        84	        74	        74	        84	        74
        12	        88	       100	        88	        88	       100	        88	        88	       100	        88	        88	       100	        88	        88	       100	        88	        88	       100	        88
        13	       104	       118	       104	       104	       118	       104	       104	       118	       104	       104	       118	       104	       104	       118	       104	       104	       118	       104
        14	       120	       137	       120	       120	       137	       120	       120	       137	       120	       120	       137	       120	       120	       137	       120	       120	       137	       120
        15	       138	       157	       138	       138	       157	       138	       138	       157	       138	       138	       157	       138	       138	       157	       138	       138	       157	       138
        16	       157	       179	       157	       157	       179	       157	       157	       179	       157	       157	       179	       157	       157	       179	       157	       157	       179	       157
        17	       177	       202	       177	       177	       202	       177	       177	       202	       177	       177	       202	       177	       177	       202	       177	       177	       202	       177
        18	       199	       226	       199	       199	       226	       199	       199	       226	       199	       199	       226	       199	       199	       226	       199	       199	       226	       199
        19	       222	       252	       222	       222	       252	       222	       222	       252	       222	       222	       252	       222	       222	       252	       222	       222	       252	       222
        20	       245	       280	       245	       245	       280	       245	       245	       280	       245	       245	       280	       245	       245	       280	       245	       245	       280	       245
        21	       271	       308	       271	       271	       308	       271	       271	       308	       271	       271	       308	       271	       271	       308	       271	       271	       308	       271
        22	       297	       338	       297	       297	       338	       297	       297	       338	       297	       297	       338	       297	       297	       338	       297	       297	       338	       297
        23	       324	       370	       324	       324	       370	       324	       324	       370	       324	       324	       370	       324	       324	       370	       324	       324	       370	       324
        24	       353	       402	       353	       353	       402	       353	       353	       402	       353	       353	       402	       353	       353	       402	       353	       353	       402	       353
        25	       383	       436	       383	       383	       436	       383	       383	       436	       383	       383	       436	       383	       383	       436	       383	       383	       436	       383
        26	       414	       472	       414	       414	       472	       414	       414	       472	       414	       414	       472	       414	       414	       472	       414	       414	       472	       414
        27	       447	       509	       447	       447	       509	       447	       447	       509	       447	       447	       509	       447	       447	       509	       447	       447	       509	       447
        28	       480	       547	       480	       480	       547	       480	       480	       547	       480	       480	       547	       480	       480	       547	       480	       480	       547	       480
        29	       515	       587	       515	       515	       587	       515	       515	       587	       515	       515	       587	       515	       515	       587	       515	       515	       587	       515
        30	       551	       628	       551	       551	       628	       551	       551	       628	       551	       551	       628	       551	       551	       628	       551	       551	       628	       551
        31	       588	       670	       588	       588	       670	       588	       588	       670	       588	       588	       670	       588	       588	       670	       588	       588	       670	       588
        32	       627	       714	       627	       627	       714	       627	       627	       714	       627	       627	       714	       627	       627	       714	       627	       627	       714	       627
        33	       666	       759	       666	       666	       759	       666	       666	       759	       666	       666	       759	       666	       666	       759	       666	       666	       759	       666
        34	       707	       805	       707	       707	       805	       707	       707	       805	       707	       707	       805	       707	       707	       805	       707	       707	       805	       707
        35	       749	       853	       749	       749	       853	       749	       749	       853	       749	       749	       853	       749	       749	       853	       749	       749	       853	       749
        36	       793	       903	       793	       793	       903	       793	       793	       903	       793	       793	       903	       793	       793	       903	       793	       793	       903	       793
